transaction_id,transaction_datetime,register,line_item,upc,product_name,quantity,unit_price
1,2024-01-01 07:14:33,2,1,040000591512,Eggs,2,4.29
1,2024-01-01 07:14:33,2,2,040001330902,Milk,1,3.49
2,2024-01-01 07:32:13,8,1,040001626658,Parmesan,1,5.49
2,2024-01-01 07:32:13,8,2,040001700597,Pasta,1,1.79
2,2024-01-01 07:32:13,8,3,040001774536,Pasta Sauce,1,3.29
2,2024-01-01 07:32:13,8,4,040002292109,Yogurt,1,1.29
3,2024-01-01 07:43:32,5,1,040001330902,Milk,1,3.49
3,2024-01-01 07:43:32,5,2,040001700597,Pasta,1,1.79
3,2024-01-01 07:43:32,5,3,040001774536,Pasta Sauce,1,3.29
3,2024-01-01 07:43:32,5,4,040002292109,Yogurt,1,1.29
4,2024-01-01 07:46:38,3,1,040000443634,Coffee Creamer,1,3.79
4,2024-01-01 07:46:38,3,2,040000813329,Ground Coffee,1,8.99
4,2024-01-01 07:46:38,3,3,040001404841,Onions,1,1.19
4,2024-01-01 07:46:38,3,4,040002144231,Tomatoes,1,2.99
5,2024-01-01 08:56:27,8,1,040001330902,Milk,1,3.49
5,2024-01-01 08:56:27,8,2,040002070292,Soda,1,1.99
6,2024-01-01 08:58:46,8,1,040000591512,Eggs,2,4.29
6,2024-01-01 08:58:46,8,2,040001996353,Salsa,2,4.49
6,2024-01-01 08:58:46,8,3,040002070292,Soda,2,1.99
6,2024-01-01 08:58:46,8,4,040002218170,Tortilla Chips,1,3.99
7,2024-01-01 09:01:06,7,1,040000961207,Ice Cream,3,4.99
7,2024-01-01 09:01:06,7,2,040001404841,Onions,2,1.19
8,2024-01-01 09:33:50,6,1,040000739390,Ground Beef,3,6.49
8,2024-01-01 09:33:50,6,2,040001330902,Milk,1,3.49
8,2024-01-01 09:33:50,6,3,040002144231,Tomatoes,1,2.99
9,2024-01-01 09:36:42,2,1,040000147878,Bread,1,2.99
9,2024-01-01 09:36:42,2,2,040001256963,Maple Syrup,1,6.99
9,2024-01-01 09:36:42,2,3,040001478780,Pancake Mix,2,3.19
9,2024-01-01 09:36:42,2,4,040002144231,Tomatoes,3,2.99
10,2024-01-01 09:46:48,3,1,040001404841,Onions,1,1.19
10,2024-01-01 09:46:48,3,2,040001626658,Parmesan,2,5.49
10,2024-01-01 09:46:48,3,3,040001700597,Pasta,1,1.79
11,2024-01-01 10:37:38,8,1,040000073939,Bananas,1,0.59
11,2024-01-01 10:37:38,8,2,040000295756,Carrots,1,1.49
11,2024-01-01 10:37:38,8,3,040000591512,Eggs,3,4.29
12,2024-01-01 12:04:49,8,1,040000961207,Ice Cream,1,4.99
12,2024-01-01 12:04:49,8,2,040001330902,Milk,3,3.49
13,2024-01-01 12:15:13,10,1,040000073939,Bananas,1,0.59
13,2024-01-01 12:15:13,10,2,040000147878,Bread,1,2.99
13,2024-01-01 12:15:13,10,3,040000295756,Carrots,1,1.49
13,2024-01-01 12:15:13,10,4,040000369695,Chicken Breast,1,7.99
13,2024-01-01 12:15:13,10,5,040000591512,Eggs,1,4.29
13,2024-01-01 12:15:13,10,6,040001700597,Pasta,2,1.79
13,2024-01-01 12:15:13,10,7,040001774536,Pasta Sauce,1,3.29
14,2024-01-01 12:28:59,3,1,040000073939,Bananas,3,0.59
14,2024-01-01 12:28:59,3,2,040000147878,Bread,1,2.99
14,2024-01-01 12:28:59,3,3,040000369695,Chicken Breast,1,7.99
14,2024-01-01 12:28:59,3,4,040000591512,Eggs,1,4.29
14,2024-01-01 12:28:59,3,5,040001996353,Salsa,1,4.49
14,2024-01-01 12:28:59,3,6,040002070292,Soda,1,1.99
14,2024-01-01 12:28:59,3,7,040002218170,Tortilla Chips,1,3.99
15,2024-01-01 12:38:50,5,1,040000517573,Dish Soap,3,3.99
15,2024-01-01 12:38:50,5,2,040000887268,Guacamole,2,5.99
15,2024-01-01 12:38:50,5,3,040001996353,Salsa,1,4.49
15,2024-01-01 12:38:50,5,4,040002218170,Tortilla Chips,1,3.99
16,2024-01-01 13:04:09,4,1,040000073939,Bananas,1,0.59
16,2024-01-01 13:04:09,4,2,040000147878,Bread,1,2.99
16,2024-01-01 13:04:09,4,3,040000443634,Coffee Creamer,1,3.79
16,2024-01-01 13:04:09,4,4,040000591512,Eggs,1,4.29
16,2024-01-01 13:04:09,4,5,040000813329,Ground Coffee,2,8.99
16,2024-01-01 13:04:09,4,6,040001922414,Rice,1,4.49
17,2024-01-01 13:05:20,2,1,040000221817,Burger Buns,1,2.49
17,2024-01-01 13:05:20,2,2,040000517573,Dish Soap,1,3.99
17,2024-01-01 13:05:20,2,3,040000591512,Eggs,1,4.29
17,2024-01-01 13:05:20,2,4,040000739390,Ground Beef,2,6.49
17,2024-01-01 13:05:20,2,5,040001330902,Milk,1,3.49
17,2024-01-01 13:05:20,2,6,040002292109,Yogurt,1,1.29
18,2024-01-01 13:16:36,4,1,040000147878,Bread,3,2.99
19,2024-01-01 13:25:38,10,1,040000147878,Bread,2,2.99
19,2024-01-01 13:25:38,10,2,040000221817,Burger Buns,1,2.49
19,2024-01-01 13:25:38,10,3,040000517573,Dish Soap,1,3.99
19,2024-01-01 13:25:38,10,4,040000739390,Ground Beef,3,6.49
19,2024-01-01 13:25:38,10,5,040001109085,Ketchup,1,2.99
19,2024-01-01 13:25:38,10,6,040001330902,Milk,1,3.49
20,2024-01-01 13:36:50,7,1,040001183024,Lettuce,1,1.99
20,2024-01-01 13:36:50,7,2,040001256963,Maple Syrup,1,6.99
20,2024-01-01 13:36:50,7,3,040001478780,Pancake Mix,1,3.19
21,2024-01-01 13:54:41,6,1,040000073939,Bananas,1,0.59
21,2024-01-01 13:54:41,6,2,040000147878,Bread,3,2.99
