user_id,country,timezone
1,Bangladesh,GMT +06:00 — Dhaka
2,Iceland,"GMT +00:00 — Monrovia, Reykjavik"
3,South Korea,GMT +09:00 — Seoul
4,Japan,"GMT +09:00 — Osaka, Sapporo, Tokyo"
5,Thailand,"GMT +07:00 — Bangkok, Hanoi, Jakarta"
6,Bolivia,"GMT -04:00 — Georgetown, La Paz, San Juan"
7,South Africa,"GMT +02:00 — Harare, Pretoria"
8,Mexico,"GMT -06:00 — Guadalajara, Mexico City, Monterrey"
9,Colombia,"GMT -05:00 — Bogota, Lima, Quito"
10,Pakistan,"GMT +05:00 — Islamabad, Karachi"
11,Bangladesh,GMT +06:00 — Dhaka
12,South Korea,GMT +09:00 — Seoul
13,Iceland,"GMT +00:00 — Monrovia, Reykjavik"
14,Iceland,"GMT +00:00 — Monrovia, Reykjavik"
15,South Africa,"GMT +02:00 — Harare, Pretoria"
16,Bolivia,"GMT -04:00 — Georgetown, La Paz, San Juan"
17,Colombia,"GMT -05:00 — Bogota, Lima, Quito"
18,South Africa,"GMT +02:00 — Harare, Pretoria"
19,Argentina,GMT -03:00 — City of Buenos Aires
20,Pakistan,"GMT +05:00 — Islamabad, Karachi"
21,Nigeria,GMT +01:00 — West Central Africa
22,Philippines,GMT +08:00 — Manila
23,Pakistan,"GMT +05:00 — Islamabad, Karachi"
24,Brazil,GMT -03:00 — Brasilia
25,Philippines,GMT +08:00 — Manila
26,Thailand,"GMT +07:00 — Bangkok, Hanoi, Jakarta"
27,Ghana,GMT +00:00 — Accra
28,Brazil,GMT -03:00 — Brasilia
29,Pakistan,"GMT +05:00 — Islamabad, Karachi"
30,Colombia,"GMT -05:00 — Bogota, Lima, Quito"
31,Bolivia,"GMT -04:00 — Georgetown, La Paz, San Juan"
32,Mexico,"GMT -06:00 — Guadalajara, Mexico City, Monterrey"
33,Thailand,"GMT +07:00 — Bangkok, Hanoi, Jakarta"
34,UAE,"GMT +04:00 — Abu Dhabi, Muscat"
35,Pakistan,"GMT +05:00 — Islamabad, Karachi"
36,Thailand,"GMT +07:00 — Bangkok, Hanoi, Jakarta"
37,Nigeria,GMT +01:00 — West Central Africa
38,Saudi Arabia,"GMT +03:00 — Kuwait, Riyadh"
39,Colombia,"GMT -05:00 — Bogota, Lima, Quito"
40,Colombia,"GMT -05:00 — Bogota, Lima, Quito"
41,UAE,"GMT +04:00 — Abu Dhabi, Muscat"
42,South Africa,"GMT +02:00 — Harare, Pretoria"
43,Saudi Arabia,"GMT +03:00 — Kuwait, Riyadh"
44,Bangladesh,GMT +06:00 — Dhaka
45,UAE,"GMT +04:00 — Abu Dhabi, Muscat"
46,Saudi Arabia,"GMT +03:00 — Kuwait, Riyadh"
47,Saudi Arabia,"GMT +03:00 — Kuwait, Riyadh"
48,Brazil,GMT -03:00 — Brasilia
49,Mexico,"GMT -06:00 — Guadalajara, Mexico City, Monterrey"
50,Nigeria,GMT +01:00 — West Central Africa
51,Bolivia,"GMT -04:00 — Georgetown, La Paz, San Juan"
52,Ghana,GMT +00:00 — Accra
53,Philippines,GMT +08:00 — Manila
54,Argentina,GMT -03:00 — City of Buenos Aires
55,Mexico,"GMT -06:00 — Guadalajara, Mexico City, Monterrey"
56,Brazil,GMT -03:00 — Brasilia
57,Brazil,GMT -03:00 — Brasilia
58,UAE,"GMT +04:00 — Abu Dhabi, Muscat"
59,Saudi Arabia,"GMT +03:00 — Kuwait, Riyadh"
60,Thailand,"GMT +07:00 — Bangkok, Hanoi, Jakarta"
61,UAE,"GMT +04:00 — Abu Dhabi, Muscat"
62,Ghana,GMT +00:00 — Accra
63,Philippines,GMT +08:00 — Manila
64,Bolivia,"GMT -04:00 — Georgetown, La Paz, San Juan"
65,Mexico,"GMT -06:00 — Guadalajara, Mexico City, Monterrey"
66,Peru,"GMT -05:00 — Bogota, Lima, Quito"
67,Pakistan,"GMT +05:00 — Islamabad, Karachi"
68,Nigeria,GMT +01:00 — West Central Africa
69,Colombia,"GMT -05:00 — Bogota, Lima, Quito"
70,South Africa,"GMT +02:00 — Harare, Pretoria"
71,Colombia,"GMT -05:00 — Bogota, Lima, Quito"
72,Pakistan,"GMT +05:00 — Islamabad, Karachi"
73,Nigeria,GMT +01:00 — West Central Africa
74,Ghana,GMT +00:00 — Accra
75,Brazil,GMT -03:00 — Brasilia
76,UAE,"GMT +04:00 — Abu Dhabi, Muscat"
77,Iceland,"GMT +00:00 — Monrovia, Reykjavik"
78,Peru,"GMT -05:00 — Bogota, Lima, Quito"
79,Colombia,"GMT -05:00 — Bogota, Lima, Quito"
80,South Korea,GMT +09:00 — Seoul
81,Japan,"GMT +09:00 — Osaka, Sapporo, Tokyo"
82,Pakistan,"GMT +05:00 — Islamabad, Karachi"
83,Brazil,GMT -03:00 — Brasilia
84,South Korea,GMT +09:00 — Seoul
85,Thailand,"GMT +07:00 — Bangkok, Hanoi, Jakarta"
86,Pakistan,"GMT +05:00 — Islamabad, Karachi"
87,Nigeria,GMT +01:00 — West Central Africa
88,Brazil,GMT -03:00 — Brasilia
89,Peru,"GMT -05:00 — Bogota, Lima, Quito"
90,Japan,"GMT +09:00 — Osaka, Sapporo, Tokyo"
91,Nigeria,GMT +01:00 — West Central Africa
92,Bolivia,"GMT -04:00 — Georgetown, La Paz, San Juan"
93,Brazil,GMT -03:00 — Brasilia
94,Saudi Arabia,"GMT +03:00 — Kuwait, Riyadh"
95,Bolivia,"GMT -04:00 — Georgetown, La Paz, San Juan"
96,Philippines,GMT +08:00 — Manila
97,Bangladesh,GMT +06:00 — Dhaka
98,Pakistan,"GMT +05:00 — Islamabad, Karachi"
99,Ghana,GMT +00:00 — Accra
100,UAE,"GMT +04:00 — Abu Dhabi, Muscat"
101,Saudi Arabia,"GMT +03:00 — Kuwait, Riyadh"
102,UAE,"GMT +04:00 — Abu Dhabi, Muscat"
103,Peru,"GMT -05:00 — Bogota, Lima, Quito"
104,Ghana,GMT +00:00 — Accra
105,Mexico,"GMT -06:00 — Guadalajara, Mexico City, Monterrey"
106,South Africa,"GMT +02:00 — Harare, Pretoria"
107,Iceland,"GMT +00:00 — Monrovia, Reykjavik"
108,Colombia,"GMT -05:00 — Bogota, Lima, Quito"
109,Colombia,"GMT -05:00 — Bogota, Lima, Quito"
110,Saudi Arabia,"GMT +03:00 — Kuwait, Riyadh"
111,Bolivia,"GMT -04:00 — Georgetown, La Paz, San Juan"
112,Japan,"GMT +09:00 — Osaka, Sapporo, Tokyo"
113,Saudi Arabia,"GMT +03:00 — Kuwait, Riyadh"
114,Iceland,"GMT +00:00 — Monrovia, Reykjavik"
115,Saudi Arabia,"GMT +03:00 — Kuwait, Riyadh"
116,Mexico,"GMT -06:00 — Guadalajara, Mexico City, Monterrey"
117,South Korea,GMT +09:00 — Seoul
118,South Africa,"GMT +02:00 — Harare, Pretoria"
119,Thailand,"GMT +07:00 — Bangkok, Hanoi, Jakarta"
120,Peru,"GMT -05:00 — Bogota, Lima, Quito"
121,South Africa,"GMT +02:00 — Harare, Pretoria"
122,South Africa,"GMT +02:00 — Harare, Pretoria"
123,Japan,"GMT +09:00 — Osaka, Sapporo, Tokyo"
124,Saudi Arabia,"GMT +03:00 — Kuwait, Riyadh"
125,South Africa,"GMT +02:00 — Harare, Pretoria"
126,Brazil,GMT -03:00 — Brasilia
127,Iceland,"GMT +00:00 — Monrovia, Reykjavik"
128,Kenya,GMT +03:00 — Nairobi
129,Nigeria,GMT +01:00 — West Central Africa
130,Mexico,"GMT -06:00 — Guadalajara, Mexico City, Monterrey"
131,Philippines,GMT +08:00 — Manila
132,Japan,"GMT +09:00 — Osaka, Sapporo, Tokyo"
133,Colombia,"GMT -05:00 — Bogota, Lima, Quito"
134,Saudi Arabia,"GMT +03:00 — Kuwait, Riyadh"
135,Colombia,"GMT -05:00 — Bogota, Lima, Quito"
136,Pakistan,"GMT +05:00 — Islamabad, Karachi"
137,Brazil,GMT -03:00 — Brasilia
138,UAE,"GMT +04:00 — Abu Dhabi, Muscat"
139,Pakistan,"GMT +05:00 — Islamabad, Karachi"
140,Bangladesh,GMT +06:00 — Dhaka
141,Colombia,"GMT -05:00 — Bogota, Lima, Quito"
142,Japan,"GMT +09:00 — Osaka, Sapporo, Tokyo"
143,Argentina,GMT -03:00 — City of Buenos Aires
144,Mexico,"GMT -06:00 — Guadalajara, Mexico City, Monterrey"
145,Saudi Arabia,"GMT +03:00 — Kuwait, Riyadh"
146,Iceland,"GMT +00:00 — Monrovia, Reykjavik"
147,Philippines,GMT +08:00 — Manila
148,Thailand,"GMT +07:00 — Bangkok, Hanoi, Jakarta"
149,Iceland,"GMT +00:00 — Monrovia, Reykjavik"
150,South Korea,GMT +09:00 — Seoul
151,Brazil,GMT -03:00 — Brasilia
152,Kenya,GMT +03:00 — Nairobi
153,Brazil,GMT -03:00 — Brasilia
154,Japan,"GMT +09:00 — Osaka, Sapporo, Tokyo"
155,Colombia,"GMT -05:00 — Bogota, Lima, Quito"
156,Mexico,"GMT -06:00 — Guadalajara, Mexico City, Monterrey"
157,Nigeria,GMT +01:00 — West Central Africa
158,South Korea,GMT +09:00 — Seoul
159,Japan,"GMT +09:00 — Osaka, Sapporo, Tokyo"
160,Bangladesh,GMT +06:00 — Dhaka
161,Japan,"GMT +09:00 — Osaka, Sapporo, Tokyo"
162,Japan,"GMT +09:00 — Osaka, Sapporo, Tokyo"
163,Kenya,GMT +03:00 — Nairobi
164,Brazil,GMT -03:00 — Brasilia
165,Bangladesh,GMT +06:00 — Dhaka
166,UAE,"GMT +04:00 — Abu Dhabi, Muscat"
167,Iceland,"GMT +00:00 — Monrovia, Reykjavik"
168,Peru,"GMT -05:00 — Bogota, Lima, Quito"
169,Bangladesh,GMT +06:00 — Dhaka
170,Brazil,GMT -03:00 — Brasilia
171,Japan,"GMT +09:00 — Osaka, Sapporo, Tokyo"
172,Argentina,GMT -03:00 — City of Buenos Aires
173,Colombia,"GMT -05:00 — Bogota, Lima, Quito"
174,Philippines,GMT +08:00 — Manila
175,Colombia,"GMT -05:00 — Bogota, Lima, Quito"
176,Bolivia,"GMT -04:00 — Georgetown, La Paz, San Juan"
177,Saudi Arabia,"GMT +03:00 — Kuwait, Riyadh"
178,Singapore,"GMT +08:00 — Kuala Lumpur, Singapore"
179,Bolivia,"GMT -04:00 — Georgetown, La Paz, San Juan"
180,Brazil,GMT -03:00 — Brasilia
181,Thailand,"GMT +07:00 — Bangkok, Hanoi, Jakarta"
182,South Korea,GMT +09:00 — Seoul
183,South Africa,"GMT +02:00 — Harare, Pretoria"
184,Colombia,"GMT -05:00 — Bogota, Lima, Quito"
