id;visit_date;people
1;01/01/2017;45
2;02/01/2017;120
3;03/01/2017;135
4;04/01/2017;95
5;05/01/2017;150
6;06/01/2017;1400
7;07/01/2017;210
8;08/01/2017;88
9;09/01/2017;105
10;10/01/2017;98
11;11/01/2017;160
12;12/01/2017;175
13;13/01/2017;155
14;14/01/2017;50
15;15/01/2017;300
16;16/01/2017;125
17;17/01/2017;180
18;18/01/2017;90
19;19/01/2017;200
20;20/01/2017;110
21;21/01/2017;130
22;22/01/2017;70
23;23/01/2017;145
24;24/01/2017;160
25;25/01/2017;155
26;26/01/2017;40
27;27/01/2017;105
28;28/01/2017;115
29;29/01/2017;98
30;30/01/2017;220
